"Coluna","Descrição"
"Acc. Freq. Left Kanji Prod.","Accumulated type frequency of left-side kanji lexical productivity adding the right-side kanji excluding proper nouns"
"Acc. Freq. Rigth Kanji Prod.","Accumulated type frequency of right-side kanji lexical productivity adding the left-side kanji excluding proper nouns"
"Symmetry","Symmetry of kanji lexical productivity on the left- and right-side kanji excluding proper nouns"
"Left Entropy","Entropy of kanji lexical productivity on the left-side kanji excluding proper nous"
"Rigth Entropy","Entropy of kanji lexical productivity on the rigth-side kanji excluding proper nous"
"Left1sound","Sound1 left kanji"
"Left1freq","Sound1 left kanji frequency"
"Left2sound","Sound2 left kanji"
"Left2freq","Sound2 left kanji frequency"
"Left3sound","Sound3 left kanji"
"Left3freq","Sound3 left kanji frequency"
"Left4sound","Sound4 left kanji"
"Left4freq","Sound4 left kanji frequency"
"Left5sound","Sound5 left kanji"
"Left5freq","Sound5 left kanji frequency"
"Left6sound","Sound6 left kanji"
"Left6freq","Sound6 left kanji frequency"
"Rigth1sound","Sound1 rigth kanji"
"Rigth1freq","Sound1 rigth kanji frequency"
"Rigth2sound","Sound2 rigth kanji"
"Rigth2freq","Sound2 rigth kanji frequency"
"Rigth3sound","Sound3 rigth kanji"
"Rigth3freq","Sound3 rigth kanji frequency"
"Rigth4sound","Sound4 rigth kanji"
"Rigth4freq","Sound4 rigth kanji frequency"
"Rigth5sound","Sound5 rigth kanji"
"Rigth5freq","Sound5 rigth kanji frequency"
"Rigth6sound","Sound6 rigth kanji"
"Rigth6freq","Sound6 rigth kanji frequency"
"Rigth7sound","Sound7 rigth kanji"
"Rigth7freq","Sound7 rigth kanji frequency"
